build/assets.js: line 16, col 24, eval is evil.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 162, col 16, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 167, col 44, Bad escapement.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 169, col 29, Missing semicolon.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 184, col 3, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 187, col 16, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 189, col 77, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 191, col 9, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 192, col 88, Missing semicolon.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 192, col 89, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 198, col 46, Bad escapement.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 200, col 31, Missing semicolon.
node_modules/socket.io/node_modules/policyfile/tests/unit.test.js: line 217, col 3, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 5, col 29, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 28, col 39, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 28, col 40, Missing semicolon.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 48, col 11, Bad line breaking before '?'.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 51, col 7, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 57, col 110, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 63, col 101, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 91, col 12, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 92, col 37, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 113, col 11, Bad line breaking before '&&'.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 114, col 11, Bad line breaking before '&&'.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 114, col 58, Bad escapement.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 115, col 11, Bad line breaking before '&&'.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 116, col 11, Bad line breaking before '&&'.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 139, col 4, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 168, col 9, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 169, col 9, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 174, col 47, 'origin' is already defined.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 195, col 37, Bad line breaking before ','.
node_modules/socket.io/node_modules/policyfile/lib/server.js: line 208, col 10, Bad line breaking before ','.
node_modules/socket.io/node_modules/redis/eval_test.js: line 6, col 8, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/eval_test.js: line 6, col 12, eval is evil.
node_modules/socket.io/node_modules/redis/multi_bench.js: line 71, col 14, Don't make functions within a loop.
node_modules/socket.io/node_modules/redis/multi_bench.js: line 75, col 14, Don't make functions within a loop.
node_modules/socket.io/node_modules/redis/multi_bench.js: line 90, col 34, Use '===' to compare with '0'.
node_modules/socket.io/node_modules/redis/test.js: line 235, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 235, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 237, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 237, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 239, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 239, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 241, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 241, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 243, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 243, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 245, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 245, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 247, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 247, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 258, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 258, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 267, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 267, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 274, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 274, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 280, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 280, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 290, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 290, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 299, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 299, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 306, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 306, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 313, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 313, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/test.js: line 320, col 16, Expected an identifier and instead saw 'eval' (a reserved word).
node_modules/socket.io/node_modules/redis/test.js: line 320, col 20, eval is evil.
node_modules/socket.io/node_modules/redis/examples/extend.js: line 17, col 22, Missing semicolon.
node_modules/socket.io/node_modules/redis/examples/unix_socket.js: line 6, col 47, Missing semicolon.
node_modules/socket.io/node_modules/redis/examples/file.js: line 14, col 23, Missing semicolon.
node_modules/socket.io/node_modules/redis/examples/file.js: line 24, col 58, Missing semicolon.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 1, col 1, Use the function form of "use strict".
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 3, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 4, col 16, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 5, col 13, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 9, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 17, col 5, 'process' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 17, col 22, 'exec' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 21, col 1, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 27, col 9, 'process' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 35, col 1, 'setInterval' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/pub.js: line 37, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/server.js: line 1, col 1, Use the function form of "use strict".
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/server.js: line 3, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/server.js: line 4, col 13, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/server.js: line 9, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/server.js: line 21, col 1, 'setInterval' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/pubsub/server.js: line 22, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 1, col 1, Use the function form of "use strict".
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 3, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 5, col 13, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 9, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 18, col 5, 'process' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 18, col 22, 'exec' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 22, col 1, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 28, col 9, 'process' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 36, col 1, 'setInterval' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/pub.js: line 40, col 9, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/server.js: line 1, col 1, Use the function form of "use strict".
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/server.js: line 3, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/server.js: line 4, col 13, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/server.js: line 9, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/server.js: line 10, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/server.js: line 26, col 1, 'setInterval' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/rpushblpop/server.js: line 28, col 9, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/speed/speed.js: line 1, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/speed/speed.js: line 2, col 13, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/speed/speed.js: line 29, col 1, 'forObj' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/speed/speed.js: line 37, col 1, 'forObj' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/speed/speed.js: line 44, col 1, 'forObj' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/speed/speed.js: line 50, col 1, 'forObj' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/speed/speed.js: line 73, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/codec.js: line 6, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/codec.js: line 7, col 1, 'msgpack' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/codec.js: line 9, col 55, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/codec.js: line 12, col 1, 'bison' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/codec.js: line 12, col 9, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/stress/codec.js: line 14, col 1, 'module' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 1, col 13, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 4, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 8, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 12, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 15, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 18, col 1, 'setInterval' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 22, col 13, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/reconnect_test.js: line 24, col 13, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/sub_quit_test.js: line 1, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/sub_quit_test.js: line 2, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/redis/tests/sub_quit_test.js: line 6, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/sub_quit_test.js: line 11, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 1, col 18, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 2, col 16, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 9, col 15, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 13, col 9, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 16, col 1, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 20, col 9, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 23, col 1, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 27, col 24, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 30, col 1, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 34, col 24, 'Buffer' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 37, col 1, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 45, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 57, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 68, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 79, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/buffer_bench.js: line 88, col 5, 'console' is not defined.
node_modules/socket.io/node_modules/redis/tests/test_start_stop.js: line 1, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/redis/lib/to_array.js: line 12, col 1, 'module' is not defined.
node_modules/socket.io/node_modules/redis/lib/util.js: line 1, col 5, 'process' is not defined.
node_modules/socket.io/node_modules/redis/lib/util.js: line 2, col 5, 'exports' is not defined.
node_modules/socket.io/node_modules/redis/lib/util.js: line 2, col 20, 'require' is not defined.
node_modules/socket.io/node_modules/redis/lib/util.js: line 5, col 5, 'exports' is not defined.
node_modules/socket.io/node_modules/redis/lib/util.js: line 5, col 20, 'require' is not defined.
node_modules/socket.io/node_modules/redis/lib/commands.js: line 2, col 1, 'module' is not defined.
node_modules/socket.io/node_modules/redis/lib/queue.js: line 1, col 16, 'require' is not defined.
node_modules/socket.io/node_modules/redis/lib/queue.js: line 58, col 1, 'exports' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 9, col 5, 'module' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 9, col 22, 'exports' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 9, col 41, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 16, col 22, 'Assertion' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 23, col 36, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 24, col 22, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 25, col 42, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 26, col 16, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 27, col 25, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 28, col 21, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 30, col 5, Duplicate member 'not'.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 29, col 36, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 30, col 13, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 40, col 16, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 41, col 9, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 44, col 39, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 46, col 32, 'Assertion' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 50, col 20, The '__proto__' property is deprecated.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 50, col 32, 'exports' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 51, col 30, 'exports' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 55, col 13, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 61, col 18, 'Assertion' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 76, col 20, 'keys' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 79, col 31, 'FlaggedAssertion' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 82, col 4, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 91, col 13, 'msg' is already defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 91, col 40, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 109, col 22, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 110, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 110, col 37, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 111, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 123, col 22, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 124, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 124, col 37, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 125, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 138, col 18, Use '===' to compare with 'true'.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 138, col 21, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 139, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 139, col 37, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 140, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 152, col 24, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 153, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 153, col 37, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 154, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 164, col 23, Expected an identifier and instead saw 'arguments' (a reserved word).
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 166, col 72, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 167, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 167, col 37, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 168, col 23, 'i' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 180, col 22, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/should.js: line 180, col 22, Too many errors. (14% scanned).
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 6, col 15, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 6, col 32, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 7, col 14, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 7, col 30, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 8, col 11, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 8, col 30, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 9, col 12, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 9, col 26, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 10, col 10, 'require' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 28, col 12, 'process' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 28, col 32, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 42, col 36, '__dirname' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 42, col 61, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 43, col 19, Expected an identifier and instead saw 'static' (a reserved word).
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 43, col 26, '__dirname' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 44, col 28, Expected an identifier and instead saw 'static' (a reserved word).
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 44, col 35, '__dirname' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 45, col 20, '__dirname' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 55, col 15, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 66, col 3, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 74, col 15, '__dirname' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 84, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 108, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 124, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 139, col 22, 'setInterval' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 143, col 11, 'clearInterval' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 144, col 11, 'setTimeout' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 223, col 11, 'console' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/app.js: line 279, col 7, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 41, col 26, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 43, col 96, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 50, col 29, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 55, col 27, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 56, col 9, 'create' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 86, col 37, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 92, col 25, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 93, col 21, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 103, col 37, 'module' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 104, col 6, 'module' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 105, col 10, ['$script'] is better written in dot notation.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 105, col 30, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 107, col 9, 'document' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 107, col 19, 'setTimeout' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/script.js: line 107, col 29, Expected an assignment or function call and instead saw an expression.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 7, col 3, 'module' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 8, col 3, '$script' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 9, col 8, 'module' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 11, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 15, col 51, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 19, col 5, '$' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 20, col 4, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 24, col 17, '$' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 25, col 5, '$' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 25, col 32, Missing semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 28, col 5, 'suite' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 30, col 9, 'suite' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 38, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 44, col 12, 'keys' is already defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 53, col 2, Unnecessary semicolon.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 57, col 17, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 64, col 12, '$' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 65, col 5, '$' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 66, col 7, '$' is not defined.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 74, col 25, Missing '()' invoking a constructor.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 77, col 30, Bad line breaking before ','.
node_modules/socket.io/node_modules/socket.io-client/support/test-runner/public/javascript/runner.js: line 78, col 42, Missing '()' invoking a constructor.
